generated_query,true_query,exact_match,query_similarity_measure,string_similarity_measure,has_join,has_multiple_tables,exec_gen_query
" 

SELECT dvd_name FROM table_1067134_1 WHERE region_2 = 'August 22, 2010';
","select dvd_name from table_1067134_1 where region_2 = ""august 22, 2010""",True,1.0,1.0,False,False,True
" 

SELECT type FROM table_261895_1 WHERE institution = 'Calvin College';
","select type from table_261895_1 where institution = ""calvin college""",True,1.0,1.0,False,False,True
" 

SELECT lec_sport FROM table_1974545_2 WHERE institution = 'Fitchburg State University';
","select lec_sport from table_1974545_2 where institution = ""fitchburg state university""",True,1.0,1.0,False,False,True
" 
SELECT cmdexe___commandcom FROM table_14465871_1 WHERE unix_shell = 'echo';
","select cmdexe___commandcom from table_14465871_1 where unix_shell = ""echo""",True,1.0,1.0,False,False,True
" 

SELECT accounting_closure_date FROM table_143352_1 WHERE agr_power_station = 'Hunterston B';
","select min(accounting_closure_date) from table_143352_1 where agr_power_station = ""hunterston b""",False,1.0,0.8888888888888888,False,False,True
" 
SELECT official_registration_notes FROM table_1160660_1 WHERE website = 'usek.edu.lb';
","select official_registration_notes from table_1160660_1 where website = ""usek.edu.lb""",True,1.0,1.0,False,False,True
" 

SELECT MAX(holborn_division) FROM table_16677738_1 WHERE tower_division = '272966';
",select max(holborn_division) from table_16677738_1 where tower_division = 272966,False,1.0,0.875,False,False,True
" 
SELECT COUNT(*) FROM table_18183850_12 WHERE opponent = 'Aleksandra Wozniak';
","select count(outcome) from table_18183850_12 where opponent = ""aleksandra wozniak""",False,1.0,0.8888888888888888,False,False,True
" 
SELECT state__class_
FROM table_2417308_3
WHERE successor = 'william bigler (d)';
","select state__class_ from table_2417308_3 where successor = ""william bigler (d)""",True,1.0,1.0,False,False,True
" 

SELECT current_status FROM table_1353096_2 WHERE station = 'KDAF';
","select current_status from table_1353096_2 where station = ""kdaf **""",False,0.0,0.7777777777777778,False,False,True
" 

SELECT COUNT(issues) FROM table_1420954_1 WHERE writer = 'elaine lee';
","select count(issues) from table_1420954_1 where writer = ""elaine lee""",True,1.0,1.0,False,False,True
" 
","select writer_s_ from table_25800134_17 where airdate = ""september 11, 1972""",False,0.0,0.0,False,False,False
" 

SELECT h_ci__ka_m_
FROM table_2282444_1
WHERE t_c__°c_ = 720;
","select h_ci__ka_m_ from table_2282444_1 where t_c__°c_ = ""720""",False,1.0,0.875,False,False,True
" 

SELECT notes FROM table_20174050_7 WHERE title = 'Paradox Lost' AND reader = 'Briggs, Nicholas Nicholas Briggs';
","select notes from table_20174050_7 where reader = ""briggs, nicholas nicholas briggs"" and title = ""paradox lost""",False,1.0,1.0,False,False,True
" 
SELECT COUNT(*) FROM table_25983027_1 WHERE infiltration__km_3__year_ = '9.3';
","select count(rainfall_by_depth__mm_year_) from table_25983027_1 where infiltration__km_3__year_ = ""9.3""",False,1.0,0.875,False,False,True
" 

SELECT ref_transaction_types.transaction_type_description
FROM ref_transaction_types
JOIN transactions
ON ref_transaction_types.transaction_type_code = transactions.transaction_type_code
GROUP BY ref_transaction_types.transaction_type_description
ORDER BY COUNT(transactions.transaction_type_code) DESC
LIMIT 1;
","select t1.transaction_type_code, t1.transaction_type_description from ref_transaction_types as t1 join transactions as t2 on t1.transaction_type_code = t2.transaction_type_code group by t1.transaction_type_code, t1.transaction_type_description order by count(*) desc limit 1;",False,0.0,0.6190476190476191,True,True,True
" 

SELECT manner_of_departure FROM table_27374004_3 WHERE team = 'Cercle Brugge';
","select manner_of_departure from table_27374004_3 where team = ""cercle brugge""",True,1.0,1.0,False,False,True
" 
SELECT tour FROM table_14496232_2 WHERE mens_singles = 'chen jin' AND womens_doubles = 'zhang yawen zhao tingting';
","select tour from table_14496232_2 where mens_singles = ""chen jin"" and womens_doubles = ""zhang yawen zhao tingting""",True,1.0,1.0,False,False,True
" 

SELECT segment_a
FROM table_15187735_15
WHERE segment_c = 'Sushi';
","select segment_a from table_15187735_15 where segment_c = ""sushi (part 1)""",False,0.0,0.7,False,False,True
" 

SELECT problem_log_id, log_entry_date FROM problem_log WHERE problem_id = 10;
","select problem_log_id, log_entry_date from problem_log where problem_id = 10",True,1.0,1.0,False,False,True
" 
SELECT name FROM member WHERE name NOT IN (SELECT name FROM member_attendance);
",select name from member where not member_id in (select member_id from member_attendance),False,0.999000999000999,0.9,False,True,True
" 

SELECT COUNT(road_record) FROM table_22825679_1 WHERE team = 'ole miss';
","select count(road_record) from table_22825679_1 where team = ""ole miss""",True,1.0,1.0,False,False,True
